input_type,n,time_ms,comparisons,swaps,array_accesses
random,100,0,1418,1037,583,4406
random,1000,0,3090,16840,9103,70092
random,10000,2,2761,235322,124144,967220
random,100000,14,6139,3019699,1574906,12339022
sorted,100,0,0112,1081,640,4722
sorted,1000,0,0642,17583,9708,73998
sorted,10000,1,1064,244460,131956,1016744
sorted,100000,9,0218,3112517,1650854,12828450
reversed,100,0,0062,944,516,3952
reversed,1000,0,0790,15965,8316,65194
reversed,10000,0,6747,226682,116696,920148
reversed,100000,8,1800,2926640,1497434,11843016
duplicate,100,0,0383,294,99,984
duplicate,1000,0,0689,2994,999,9984
duplicate,10000,0,0786,29994,9999,99984
duplicate,100000,0,5226,299994,99999,999984
